"1311 K St SE #3,","Washington, DC 20003","$635,000",2,2,"1,050","Live the high life in a light filled luxury condo on Capitol Hill! This expansive, second floor 2 bed 2 bath has it all: lofty ceilings, an expansive island with marble waterfall countertop, separate dining space, office nook, gleaming hardwoods, marble tiled bathrooms, private outdoor space, and recessed lights throughout. The primary suite can accommodate a king size bed and boasts dual closets, dual vanities, a large walk in shower with a rainfall showerhead, and your own balcony where you can take in the sun. Enjoy cooking elaborate meals in the chef’s kitchen with a five burner gas range, marble backsplash, pendant lighting, plenty of storage, stainless hood vent, french door fridge with in-door ice and water, dishwasher, microwave, garbage disposal, myriad counter space, and a dedicated wine fridge. The second bedroom is large enough to fit a queen sized bed, desk, & more - great for work, play, guests, or dedicated space for a family member. Bonus: you’ll find a large storage closet there - a dynamic area to store seasonal items, bikes, instruments, and more. The hall bath offers a marble vanity and a full size tub and shower. Add the built in bluetooth surround sound, stacked & front loading in-unit w/ d, a newer HVAC and you’ll agree this 2015-build lives up to its lustre. A five-unit boutique building with pet friendly policies, relaxed rental restrictions, and a low condo fee under $250 that includes water and gas makes this an investment worthy asset. Say yes to over 1,000 square feet of living space just a 7 minute, 2 block walk to the Potomac Ave Metro, Harris Teeter, Barrack’s Row, and The Roost Food Hall. Enjoy nearby neighborhood favorites like Mangialardo’s (rumored to have the best subs in town since 1953!) and Trusty’s Full Serve bar, a reliable watering hole with live music. You’ll never tire of exploring one of the country’s most treasured neighborhoods with its rich history and culture.",Active,29 hours,Townhouse,,2015,OLD CITY I,,DCDC2020186,"$635,000",$605,"$635,374",Traditional,38.8782192,-76.9877302,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/1311-K-St-SE-20003/unit-3/home/94462314,Tyler Elementary School,7,512
"118 North Carolina Ave SE,","Washington, DC 20003","$1,300,000",3,3.5,"2,334","This Capitol Hill rowhome offers the perfect blend of historic charm and modern comfort. Classic character shines through and serves as a welcome reminder of the significance and beauty of the surrounding neighborhood. At the same time, modern comforts abound in the form of a free flowing open floor plan and updated kitchen with granite countertops and stainless steel appliances. The primary living space on the main floor features a spacious living room and dining room that flows directly into the kitchen and continues out to a screened-in porch. There is also a half bathroom on the main floor. Upstairs are 2 bedrooms and 2 full bathrooms along with a back porch and a washer/dryer. There is a separate basement unit with front and rear entrances that includes an additional bedroom, bathroom, kitchen and washer/dryer. The basement unit is well suited as additional living space, an in-law or Au Pair suite, home office space and much more. The property features a deep front lot set back from the street and the backyard is spacious and feels like a green oasis in the middle of the city. The southern exposure at the front of the house offers beautiful natural light throughout the day. When it comes to location, this is hard to beat. Just a 10-15 minute walk in any direction brings you somewhere incredible. Head north and you're at the Capitol Rotunda in 10 minutes, a 15 minute walk south brings you to Nationals Park. Head east and you're at Barracks Row and Eastern Market, and a 15 minute walk west takes you to the heart of the National Mall. The Capitol South metro station is a block and a half away and the Library of Congress and Cannon House Office Building are just one block beyond that. Folger and Providence Parks are less than one block away and offer a sense of serenity rarely found in such a central location. The house is inbounds for Brent Elementary School, one of the most sought after schools in the District. Ownership of the Solar Panel system will transfer to the buyer.",Active,2 days,Townhouse,,1911,CAPITOL HILL,"1,815 Sq. Ft.",DCDC2022328,"$1,300,000",$557,,"Traditional, Federal",38.8840788,-77.0050647,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/118-N-Carolina-Ave-SE-20003/home/9890169,Brent Elementary School,8,432
"231 6th St SE,","Washington, DC 20003","$1,775,000",4,3,"3,424","You've admired it from afar. .. now is your chance to call it home! Simply stunning corner property with an abundance of period details and old world charm. The main level offers a grand foyer, formal living room w/ gas FP, formal dining room w/ FP (not sure of working condition for DR FP), kitchen and full bath. Perfect for grand scale entertaining! The upper level offers 3 bedrooms, a full bath + a BIG bonus room w/ rear stairs - flooded with sunlight from 14 windows + 2 massive skylights - Family room? Additional bedroom? Future primary bedroom/bath? The choices are endless. Both the front bedroom and rear bedroom have soaring ceilings (the woodwork in the rear bedroom ceiling is breathtaking). The lower level offers storage space w/ connecting stairs in the rear (w/ fireplace). Future finished room? Again, choices are endless. The rest of the English basement is a huge in-law suite (no c of o). The corner lot offers space on the Seward Square side for outdoor get togethers. While the main level shows extremely well , the bonus room and the in-law suite (used mainly for storage over the years) are in need of a makeover. Once finished, you'll have a masterpiece. Reward yourself! Click on the movie camera icon for an interactive 3D virtual tour of the entire home + floor plan. Any offers due Thursday 12/9/21 by noon. Sold as-is. Don't miss the open houses Friday and Saturday!",Active,16 hours,Townhouse,,1890,CAPITOL HILL,"1,145 Sq. Ft.",DCDC2021852,"$1,775,000",$518,"$1,778,271",Victorian,38.8867133,-76.9986194,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/231-6th-St-SE-20003/home/9897360,Brent Elementary School,8,432
"1311 K St SE #3,","Washington, DC 20003","$635,000",2,2,"1,050","Live the high life in a light filled luxury condo on Capitol Hill! This expansive, second floor 2 bed 2 bath has it all: lofty ceilings, an expansive island with marble waterfall countertop, separate dining space, office nook, gleaming hardwoods, marble tiled bathrooms, private outdoor space, and recessed lights throughout. The primary suite can accommodate a king size bed and boasts dual closets, dual vanities, a large walk in shower with a rainfall showerhead, and your own balcony where you can take in the sun. Enjoy cooking elaborate meals in the chef’s kitchen with a five burner gas range, marble backsplash, pendant lighting, plenty of storage, stainless hood vent, french door fridge with in-door ice and water, dishwasher, microwave, garbage disposal, myriad counter space, and a dedicated wine fridge. The second bedroom is large enough to fit a queen sized bed, desk, & more - great for work, play, guests, or dedicated space for a family member. Bonus: you’ll find a large storage closet there - a dynamic area to store seasonal items, bikes, instruments, and more. The hall bath offers a marble vanity and a full size tub and shower. Add the built in bluetooth surround sound, stacked & front loading in-unit w/ d, a newer HVAC and you’ll agree this 2015-build lives up to its lustre. A five-unit boutique building with pet friendly policies, relaxed rental restrictions, and a low condo fee under $250 that includes water and gas makes this an investment worthy asset. Say yes to over 1,000 square feet of living space just a 7 minute, 2 block walk to the Potomac Ave Metro, Harris Teeter, Barrack’s Row, and The Roost Food Hall. Enjoy nearby neighborhood favorites like Mangialardo’s (rumored to have the best subs in town since 1953!) and Trusty’s Full Serve bar, a reliable watering hole with live music. You’ll never tire of exploring one of the country’s most treasured neighborhoods with its rich history and culture.",Active,29 hours,Townhouse,,2015,OLD CITY I,,DCDC2020186,"$635,000",$605,"$635,374",Traditional,38.8782192,-76.9877302,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/1311-K-St-SE-20003/unit-3/home/94462314,Tyler Elementary School,7,512
"118 North Carolina Ave SE,","Washington, DC 20003","$1,300,000",3,3.5,"2,334","This Capitol Hill rowhome offers the perfect blend of historic charm and modern comfort. Classic character shines through and serves as a welcome reminder of the significance and beauty of the surrounding neighborhood. At the same time, modern comforts abound in the form of a free flowing open floor plan and updated kitchen with granite countertops and stainless steel appliances. The primary living space on the main floor features a spacious living room and dining room that flows directly into the kitchen and continues out to a screened-in porch. There is also a half bathroom on the main floor. Upstairs are 2 bedrooms and 2 full bathrooms along with a back porch and a washer/dryer. There is a separate basement unit with front and rear entrances that includes an additional bedroom, bathroom, kitchen and washer/dryer. The basement unit is well suited as additional living space, an in-law or Au Pair suite, home office space and much more. The property features a deep front lot set back from the street and the backyard is spacious and feels like a green oasis in the middle of the city. The southern exposure at the front of the house offers beautiful natural light throughout the day. When it comes to location, this is hard to beat. Just a 10-15 minute walk in any direction brings you somewhere incredible. Head north and you're at the Capitol Rotunda in 10 minutes, a 15 minute walk south brings you to Nationals Park. Head east and you're at Barracks Row and Eastern Market, and a 15 minute walk west takes you to the heart of the National Mall. The Capitol South metro station is a block and a half away and the Library of Congress and Cannon House Office Building are just one block beyond that. Folger and Providence Parks are less than one block away and offer a sense of serenity rarely found in such a central location. The house is inbounds for Brent Elementary School, one of the most sought after schools in the District. Ownership of the Solar Panel system will transfer to the buyer.",Active,2 days,Townhouse,,1911,CAPITOL HILL,"1,815 Sq. Ft.",DCDC2022328,"$1,300,000",$557,,"Traditional, Federal",38.8840788,-77.0050647,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/118-N-Carolina-Ave-SE-20003/home/9890169,Brent Elementary School,8,432
"231 6th St SE,","Washington, DC 20003","$1,775,000",4,3,"3,424","You've admired it from afar. .. now is your chance to call it home! Simply stunning corner property with an abundance of period details and old world charm. The main level offers a grand foyer, formal living room w/ gas FP, formal dining room w/ FP (not sure of working condition for DR FP), kitchen and full bath. Perfect for grand scale entertaining! The upper level offers 3 bedrooms, a full bath + a BIG bonus room w/ rear stairs - flooded with sunlight from 14 windows + 2 massive skylights - Family room? Additional bedroom? Future primary bedroom/bath? The choices are endless. Both the front bedroom and rear bedroom have soaring ceilings (the woodwork in the rear bedroom ceiling is breathtaking). The lower level offers storage space w/ connecting stairs in the rear (w/ fireplace). Future finished room? Again, choices are endless. The rest of the English basement is a huge in-law suite (no c of o). The corner lot offers space on the Seward Square side for outdoor get togethers. While the main level shows extremely well , the bonus room and the in-law suite (used mainly for storage over the years) are in need of a makeover. Once finished, you'll have a masterpiece. Reward yourself! Click on the movie camera icon for an interactive 3D virtual tour of the entire home + floor plan. Any offers due Thursday 12/9/21 by noon. Sold as-is. Don't miss the open houses Friday and Saturday!",Active,16 hours,Townhouse,,1890,CAPITOL HILL,"1,145 Sq. Ft.",DCDC2021852,"$1,775,000",$518,"$1,778,271",Victorian,38.8867133,-76.9986194,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/231-6th-St-SE-20003/home/9897360,Brent Elementary School,8,432
"1025 1st St SE #901,","Washington, DC 20003","$565,000",1,1,895,"It's Where You Want to Be!! Superbly located a short stroll from National Stadium, Navy/Ballpark Metro Station, Whole Foods, and Harris Teeter Grocery Stores, this 895 square foot (per public record) 1BR condo with a den is what modern City life is about and ideal for a young professional or a newly downsized retiree who wants to be where living life to the fullest or the least is always an option!  Newly built in 2009 the condo sports a gourmet kitchen with Stainless Steel appliances, granite countertops/backsplash, and a large island with a counter for informal dining.   It boasts floor-to-ceiling windows with privacy blinds, engineered wood floors, and a private balcony.   The bathroom was completely remodeled recently with a huge walk-in shower with frameless glass doors. There's lots of bathroom storage and good sized washer/dryer in the closet. The electric furnace/CAC was new in late 2019. Pets are allowed and the condo has concrete between the levels so much quieter than older converted buildings. You are steps from the brisk elevator and have your own parking space in the garage that conveys with the unit and is close by the elevator there for convenience when shopping.  The Velocity condominium is upscale in style and operation with the security of a 24-hour concierge at the front desk. There's a package delivery area, a beautifully landscaped heated rooftop pool with a barbecue area and outdoor grills, a recently expanded fitness center, and a well-appointed meeting/party room, There's also a children's play area. Enjoy rooftop views of Virginia and get all the exercise you need here. Explore the newly constructed Anacostia River Walk Trail or venture further to the Southwest Waterfront with concerts and restaurants aplenty to enjoy. This is a fabulous environment for the young and old alike in the heart of the Nation's vibrant Capital close by Capitol Hill, two wide rivers, and the most wonderful opportunity for living life as you want it!",Active,16 hours,Condo,$473/month,2009,OLD CITY I,,DCDC2022228,"$565,000",$631,"$566,140",Contemporary,38.8777481,-77.0063567,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/1025-First-St-SE-20003/unit-901/home/39956123,Waterfront Academy,7,-
"317 13th St SE,","Washington, DC 20003","$1,298,000",5,4.5,"2,630","This home’s bright and airy 1920s footprint surpasses all expectations with a rear extension that expands past any other house on the block. The gracious kitchen has plenty of space for entertaining and a seamless flow out to the back patio for dining, lounging or game-day grilling. Upstairs you’ll find three generous rooms – flexible as bedrooms or office space - with two full bathrooms and laundry. A separate basement apartment lives larger than most units with 2 rooms and 2 bathrooms, full kitchen and living area. The home comes equipped with coveted off-street parking, but we bet you’ll ditch the car and walk a few short blocks to Eastern Market, Barrack’s Row, the Metro, and The Roost. You’re just a quick jaunt to Trader Joe’s and the brand new Safeway as well as idyllic Lincoln Park. Welcome to life on the Hill.",Active,23 hours,Townhouse,,1924,OLD CITY I,"1,425 Sq. Ft.",DCDC2022364,"$1,298,000",$494,"$1,297,753",Traditional,38.8848871,-76.9886499,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/317-13th-St-SE-20003/home/9911942,Watkins Elementary School (capitol Hill Cluster),7,444
"37 L St SE #702,","Washington, DC 20003","$869,900",2,2,"1,025","Welcome to The Kennedy on L, Navy Yard's newest luxury, boutique condominium. With only 74 homes soaring 11 stories, this all concrete building will welcome you home with spacious floor plans and smart amenities. Each residence has been outfitted with custom wood kitchen cabinetry, Silestone countertops, Fisher & Paykel refrigerators, Bosch microwave, gas cooktops and Electrolux Washer and Dryer. Located at 37 L Street, SE, The Kennedy is just steps from Whole Foods Market, Nationals Stadium, the Navy Yard Metro and Audi Stadium. Building amenities include a stylish and sleek lobby with a resident lounge, a relaxation porch, an exercise room with Peloton equipment, a pet-washing station, a rooftop terrace with firepits, gas grills and breathtaking Views! AVAILABLE FOR IMMEDIATE MOVE-IN. SELLER CONCESSIONS W/ END OF YEAR CLOSINGS. Garaged Parking is available for an additional $50k. Showings are by appointment only.",Active,25 hours,Condo,$562/month,2021,NAVY YARD,,DCDC2023258,"$869,900",$849,"$869,563",Contemporary,38.8772448,-77.0080904,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/37-L-St-SE-20003/unit-702/home/177091815,Eagle Academy Public Charter School - Capitol Riverfront,6,156
"1326 Independence Ave SE,","Washington, DC 20003","$1,548,000",4,3.5,"2,660","Let there be light! And it was good. Someone understood that walls of glass lift spirits fast, they can elevate your mental state to dizzying heights, providing clear lines of sight, from a lofty perch, your domestic church search is done. Incredibly well-designed, smartly executed contemporary, seamlessly integrated with real-life practical components. Got drama? How bout 30' ceilings. Inspiration? You'll have level-headed office envy. Celebration? Pick your spot. The kitchen's fun once homework is done and it's off to bed, a serious master suite, then Jack and Jill's dual retreats, and still, more room, an acrobatically flexible lower level where congregate meets recreate, meets self-contained rental for the fiscally mental, but black-out some dates for mom and dad in your dream village scene, just moments to the market, forget about your car, in the garage, where you parked it.",Active,35 hours,Townhouse,,1911,OLD CITY I,"2,079 Sq. Ft.",DCDC2022546,"$1,548,000",$582,"$1,548,464",Victorian,38.887872,-76.9873549,Rory Obletz,Washington Redfin Agent,https://www.redfin.com/DC/Washington/1326-Independence-Ave-SE-20003/home/9914511,Payne Elementary School,8,346
